10-Digit BBL,"Street Number",Street Name,"DOF Gross Square Footage",Energy Star 1 to 100 Score,"Energy Efficiency Grade"
1015050001,1120,5 AVENUE,"1 65,357",90,A
1015050033,1190,PARK AVENUE,"2 9,714","missing required benchmarkinginformation",F
1015050040,1192,PARK AVENUE,"1 96,577",86,A
1015050044,64,EAST 94 STREET,"4 4,750",88,A
1015050056,28,EAST 94 STREET,"5 1,912",88,A
1015057502,1327,MADISON AVENUE,"3 37,042",49,D
1015060018,30,EAST 95 STREET,"2 9,148",36,D
1015060065,2,EAST 95 STREET,"6 5,656",43,D
1015060069,1136,5 AVENUE,"1 22,701",77,B
1015060021,1339,MADISON AVENUE,"1 92,301",27,D
1015070001,1140,5 AVENUE,"7 7,858",79,B
1015070021,1361,MADISON AVENUE,"6 8,992",84,B
1015070033,1220,PARK AVENUE,"2 31,050",100,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015070040,1230,PARK AVENUE,"1 19,765",87,A
1015070041,70,EAST 96 STREET,"1 12,083",68,C
1015070045,58,EAST 96 STREET,"1 14,003",62,C
1015070050,1371,MADISON AVENUE,"3 5,998",44,D
1015070056,16,EAST 96 STREET,"6 7,704",86,A
1015070064,8,EAST 96 STREET,"8 1,133",72,B
1015070069,1148,5 AVENUE,"1 66,158",91,A
1015080001,903,PARK AVENUE,"1 13,281",100,A
1015080024,161,EAST 79 STREET,"5 1,792",88,A
1015080027,173,EAST 79 STREET,"9 2,216",68,C
1015080031,179,EAST 79 STREET,"6 1,300",74,B
1015080038,1402,3 AVENUE,"1 38,875",32,D
1015080046,162,EAST 80 STREET,"4 9,435",80,B
1015080072,911,PARK AVENUE,"1 73,873",70,B
1015087501,127,EAST 79 STREET,"1 45,015",90,A
1015087502,155,EAST 79 STREET,"3 4,979",28,D
1015090001,925,PARK AVENUE,"1 02,881",93,A
1015090006,107,EAST 80 STREET,"5 2,272",69,C
1015090016,133,EAST 80 STREET,"7 6,413",66,C
1015090051,140,EAST 81 STREET,"1 09,157",96,A
1015090056,112,EAST 81 STREET,"2 50,097",96,A
1015090069,935,PARK AVENUE,"6 2,598",71,B
1015090071,929,PARK AVENUE,"4 7,639",75,B
1015100001,941,PARK AVENUE,"1 64,868",67,C
1015100020,1195,LEXINGTON AVENUE,"7 8,874",21,D
1015100025,151,EAST 81 STREET,"2 5,402",100,A
1015100027,157,EAST 81 STREET,"3 9,687",100,A
1015100030,163,EAST 81 STREET,"5 9,149",89,A
1015100057,130,EAST 82 STREET,"7 2,537",16,D
1015100060,122,EAST 82 STREET,"4 8,432",85,A
1015100065,108,EAST 82 STREET,"6 4,332",93,A
1015100072,951,PARK AVENUE,"6 8,731",59,C
1015107501,1438,3 AVENUE,"1 52,120",92,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015107503,176,EAST 82 STREET,"3 2,942","missing required benchmarkinginformation",F
1015110001,969,PARK AVENUE,"1 28,635",94,A
1015110008,115,EAST 82 STREET,"5 0,592",99,A
1015110021,147,EAST 82 STREET,"2 6,880",73,B
1015110033,1450,3 AVENUE,"1 47,534",56,C
1015110053,140,EAST 83 STREET,"9 1,090",100,A
1015110065,112,EAST 83 STREET,"4 0,053",80,B
1015110069,975,PARK AVENUE,"1 42,075",48,D
1015117501,129,EAST 82 STREET,"5 2,740",47,D
1015117502,167,EAST 82 STREET,"6 5,104",21,D
1015120001,983,PARK AVENUE,"2 03,706",89,A
1015120016,131,EAST 83 STREET,"2 7,700",14,D
1015120025,151,EAST 83 STREET,"9 3,924",72,B
1015120033,1470,3 AVENUE,"3 1,542",5,D
1015120044,15O,EAST 84 STREET,"3 6,935",73,B
1015120052,144,EAST 84 STREET,"9 7,893",78,B
1015120059,124,EAST 84 STREET,"5 1,744",70,B
1015120062,114,EAST 84 STREET,"5 7,491",76,B
1015120070,993,PARK AVENUE,"1 28,388",41,D
1015120123,1223,LEXINGTON AVENUE,"1 20,034",9,D
1015127502,1474,3 AVENUE,"6 3,031",100,A
1015130001,1001,PARK AVENUE,"6 8,569",53,D
1015130005,103,EAST 84 STREET,"5 1,184",93,A
1015130009,119,EAST 84 STREET,"4 8,387",79,B
1015130015,125,EAST 84 STREET,"8 1,180",88,A
1015130020,145,EAST 84 STREET,"1 16,824",41,D
1015130063,118,EAST 85 STREET,"5 4,739",4,D
1015130066,106,EAST 85 STREET,"3 7,030",69,C
1015130070,1009,PARK AVENUE,"6 5,457",79,B
1015137501,171,EAST 84 STREET,"3 27,619",84,B
1015137502,150,EAST 85 STREET,"9 2,479",17,D
1015140001,1021,PARK AVENUE,"1 24,648",90,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015140008,111,EAST 85 STREET,"2 11,406",74,B
1015140013,125,EAST 85 STREET,"7 6,982",1,D
1015140016,131,EAST 85 STREET,"2 7,935",5,D
1015140039,1524,3 AVENUE,"6 51,162",48,D
1015140066,108,EAST 86 STREET,"5 1,360",59,C
1015140069,1035,PARK AVENUE,"7 5,798",52,D
1015147502,150,EAST 86 STREET,"4 53,927",95,A
1015150001,1045,PARK AVENUE,"6 8,542",76,B
1015150007,103,EAST 86 STREET,"9 1,260",51,D
1015150008,115,EAST 86 STREET,"1 07,788",55,C
1015150046,152,EAST 87 STREET,"1 54,952",86,A
1015157501,108,EAST 87 STREET,"6 2,438",83,B
1015157502,120,EAST 87 STREET,"4 39,280",16,D
1015157503,1538,3 AVENUE,"4 02,015",50,D
1015157505,147,EAST 86 STREET,"2 29,751",100,A
1015160001,1065,PARK AVENUE,"1 14,000",53,D
1015160013,1290,LEXINGTON AVENUE,"1 51,184",25,D
1015160030,173,EAST 87 STREET,"2 7,198",81,B
1015160032,1550,3 AVENUE,"6 7,500",88,A
1015160042,170,EAST 88 STREET,"5 0,874",67,C
1015160052,16O,EAST 88 STREET,"1 28,132",2,D
1015160069,1075,PARK AVENUE,"1 42,368",80,B
1015167501,153,EAST 87 STREET,"5 3,726",50,D
1015167502,115,EAST 87 STREET,"4 36,090",75,B
1015167503,180,EAST 88 STREET,"1 45,630",97,A
1015170001,1085,PARK AVENUE,"1 27,395",93,A
1015170027,161,EAST 88 STREET,"3 6,432",41,D
1015170043,16O,EAST 89 STREET,"6 4,272",98,A
1015170058,1328,LEXINGTON AVENUE,"6 4,344",40,D
1015170062,108,EAST 89 STREET,"9 7,042",36,D
1015170069,1095,PARK AVENUE,"1 99,625",72,B
1015177501,111,EAST 88 STREET,"7 5,335",46,D
1015177502,141,EAST 88 STREET,"1 92,705",91,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015180001,1105,PARK AVENUE,"1 47,065",81,B
1015180009,115,EAST 89 STREET,"5 2,848",85,A
1015180024,1341,LEXINGTON AVENUE,"1 14,939",10,D
1015180031,165,EAST 89 STREET,"4 9,680","missing required benchmarkinginformation",F
1015180033,1588,3 AVENUE,"8 1,837",73,B
1015180049,1349,LEXINGTON AVENUE,"1 12,398",73,B
1015180061,114,EAST 90 STREET,"5 4,997",68,C
1015180069,1111,PARK AVENUE,"2 07,542",86,A
1015187501,1354,LEXINGTON AVENUE,"9 8,516",67,C
1015190001,1125,PARK AVENUE,"2 11,870",80,B
1015190008,115,EAST 90 STREET,"4 9,555",83,B
1015190022,151,EAST 90 STREET,"3 8,500",91,A
1015190025,161,EAST 90 STREET,"3 8,117",41,D
1015190040,172,EAST 91 STREET,"3 5,200",63,C
1015190046,158,EAST 91 STREET,"6 2,272",97,A
1015190067,108,EAST 91 STREET,"4 1,600","missing required benchmarkinginformation",F
1015190069,1133,PARK AVENUE,"6 5,434",87,A
1015197501,181,EAST 90 STREET,"2 07,626",21,D
1015200004,1153,PARK AVENUE,"1 66,596",77,B
1015200025,155,EAST 91 STREET,"3 7,854",87,A
1015200027,159,EAST 91 STREET,"4 6,032",99,A
1015200033,169,EAST 91 STREET,"3 3,443",66,C
1015200041,166,EAST 92 STREET,"3 2,658",74,B
1015210001,1165,PARK AVENUE,"1 76,799",87,A
1015210007,115,EAST 92 STREET,"6 5,692",90,A
1015210020,145,EAST 92 STREET,"8 5,924",8,D
1015210051,1415,LEXINGTON AVENUE,"6 4,957",45,D
1015210064,118,EAST 93 STREET,"4 2,857",95,A
1015210069,1175,PARK AVENUE,"1 74,910",1,D
1015217501,134,EAST 93 STREET,"5 1,399",3,D
1015220001,1185,PARK AVENUE,"5 50,905",82,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015220012,125,EAST 93 STREET,"3 1,266",56,C
1015220014,131,EAST 93 STREET,"3 8,034",100,A
1015220020,1429,LEXINGTON AVENUE,"7 7,426",100,A
1015220030,181,EAST 93 STREET,"3 8,094",99,A
1015220041,170,EAST 94 STREET,"3 1,620",63,C
1015220044,152,EAST 94 STREET,"1 31,549",72,B
1015220050,1435,LEXINGTON AVENUE,"1 16,270",95,A
1015220059,130,EAST 94 STREET,"5 0,643",63,C
1015230001,1197,PARK AVENUE,"2 10,988",92,A
1015230014,1450,LEXINGTON AVENUE,"6 7,882",70,B
1015230034,1680,3 AVENUE,"2 42,157",66,C
1015230050,1469,LEXINGTON AVENUE,"3 5,399",82,B
1015240001,1225,PARK AVENUE,"1 65,834",94,A
1015240044,166,EAST 96 STREET,"6 2,789",47,D
1015247501,1235,PARK AVENUE,"1 03,777",87,A
1015247502,108,EAST 96 STREET,"1 04,951",22,D
1015240023,1694,3 AVENUE,"1 13,292",94,A
1015250001,1391,3 AVENUE,"2 93,303",54,D
1015250009,215,EAST 79 STREET,"9 4,418",58,C
1015250013,225,EAST 79 STREET,"5 9,488",91,A
1015250015,229,EAST 79 STREET,"1 06,905",79,B
1015250021,1523,2 AVENUE,"2 81,825",71,B
1015250036,222,EAST 80 STREET,"9 4,404",56,C
1015260021,1543,2 AVENUE,"1 23,524",98,A
1015267501,1411,3 AVENUE,"2 33,959",10,D
1015267502,215,EAST 80 STREET,"1 75,375",69,C
1015270009,219,EAST 81 STREET,"3 6,720",87,A
1015270020,243,EAST 81 STREET,"2 5,775",99,A
1015270028,1571,2 AVENUE,"1 89,612",14,D
1015270035,222,EAST 82 STREET,"4 4,310",64,C
1015270045,200,EAST 82 STREET,"2 05,261",39,D
1015277501,1441,3 AVENUE,"9 9,039",60,C
1015277502,215,EAST 81 STREET,"2 8,559",92,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015280005,205,EAST 82 STREET,"3 7,145",79,B
1015287501,200,EAST 83 STREET,"2 68,351",100,A
1015290001,1471,3 AVENUE,"9 6,699",55,C
1015290018,235,EAST 83 STREET,"3 6,800",93,A
1015290045,200,EAST 84 STREET,"1 30,234",82,B
1015300001,1491,3 AVENUE,"2 9,227",1,D
1015300015,235,EAST 84 STREET,"2 5,669",84,B
1015300019,245,EAST 84 STREET,"6 9,001",78,B
1015300034,230,EAST 85 STREET,"5 0,853",56,C
1015307501,236,EAST 85 STREET,"5 7,355",52,D
1015310029,240,EAST 86 STREET,"2 67,891",17,D
1015310040,210,EAST 86 STREET,"7 3,255",81,B
1015317501,205,EAST 85 STREET,"3 03,383",80,B
1015320001,201,EAST 86 STREET,"2 56,810",64,C
1015320015,231,EAST 86 STREET,"5 7,745",32,D
1015320016,241,EAST 86 STREET,"1 04,440",69,C
1015320022,1659,2 AVENUE,"3 63,389",43,D
1015320031,240,EAST 87 STREET,"3 2,145","missing required benchmarkinginformation",F
1015327501,225,EAST 86 STREET,"6 4,921",54,D
1015330001,201,EAST 87 STREET,"5 10,306",72,B
1015330022,1681,2 AVENUE,"1 69,507",37,D
1015330032,230,EAST 88 STREET,"1 30,500",59,C
1015330122,235,EAST 87 STREET,"1 48,031",81,B
1015340012,217,EAST 88 STREET,"1 20,555",64,C
1015347501,200,EAST 89 STREET,"2 66,776",13,D
1015350003,1589,3 AVENUE,"1 92,445",36,D
1015350007,207,EAST 89 STREET,"2 7,500",72,B
1015367501,1601,3 AVENUE,"1 ,858,121",47,D
1015370022,1749,2 AVENUE,"6 93,459",23,D
1015380021,1767,2 AVENUE,"7 59,187",26,D
1015387501,203,EAST 92 STREET,"4 41,540",4,D
1015390010,225,EAST 93 STREET,"1 09,913",72,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015397501,1801,2 AVENUE,"4 45,989",74,B
1015390008,220,EAST 94 STREET,"1 59,371",53,D
1015397502,200,EAST 94 STREET,"4 51,617",53,D
1015407501,206,EAST 95 STREET,"4 5,420",36,D
1015407502,212,EAST 95 STREET,"4 0,106",49,D
1015410001,1695,3 AVENUE,"3 29,850",31,D
1015410021,1849,2 AVENUE,"9 68,264",31,D
1015420013,323,EAST 79 STREET,"2 8,128","missing required benchmarkinginformation",F
1015420014,325,EAST 79 STREET,"1 29,350",95,A
1015420019,333,EAST 79 STREET,"4 31,000",52,D
1015420033,330,EAST 80 STREET,"9 2,854",93,A
1015427501,1522,2 AVENUE,"4 85,961",42,D
1015430009,315,EAST 80 STREET,"5 4,684",90,A
1015430014,325,EAST 80 STREET,"4 3,602",53,D
1015430018,333,EAST 80 STREET,"4 5,634",63,C
1015430038,334,EAST 81 STREET,"2 5,700",76,B
1015437501,345,EAST 80 STREET,"3 79,873",64,C
1015437503,301,EAST 80 STREET,"2 50,554",100,A
1015440019,345,EAST 81 STREET,"2 17,720",41,D
1015447501,350,EAST 82 STREET,"2 24,778",19,D
1015447504,301,EAST 81 STREET,"9 7,416",56,C
1015450034,326,EAST 83 STREET,"3 3,580",31,D
1015450039,318,EAST 83 STREET,"2 5,190",97,A
1015457502,333,EAST 82 STREET,"4 4,334","missing required benchmarkinginformation",F
1015450005,305,EAST 82 STREET,"8 5,066",71,B
1015460001,303,EAST 83 STREET,"2 68,750",14,D
1015460023,353,EAST 83 STREET,"2 67,772",86,A
1015460035,332,EAST 84 STREET,"5 2,900",93,A
1015470023,351,EAST 84 STREET,"2 61,782",79,B
1015470032,344,EAST 85 STREET,"3 4,300",93,A
1015470049,1632,2 AVENUE,"2 18,170",32,D
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015480036,336,EAST 86 STREET,"6 2,990",43,D
1015487502,305,EAST 85 STREET,"1 10,679",10,D
1015490001,1660,2 AVENUE,"6 90,703",18,D
1015490018,345,EAST 86 STREET,"1 57,401",54,D
1015490024,1653,1 AVENUE,"3 6,237",53,D
1015490038,340,EAST 87 STREET,"2 5,380",96,A
1015500001,1682,2 AVENUE,"1 38,304",24,D
1015500007,311,EAST 87 STREET,"1 13,000",96,A
1015500045,302,EAST 88 STREET,"4 9,075",82,B
1015507501,360,EAST 88 STREET,"2 76,771",54,D
1015517502,1711,1 AVENUE,"2 10,669",3,D
1015520006,307,EAST 89 STREET,"3 1,500",86,A
1015520029,1733,1 AVENUE,"2 7,000",2,D
1015520041,312,EAST 90 STREET,"2 8,041",55,C
1015527502,1730,2 AVENUE,"2 8,593",26,D
1015527504,389,EAST 89 STREET,"2 15,214",51,D
1015530016,327,EAST 90 STREET,"3 3,300",54,D
1015530045,310,EAST 91 STREET,"2 8,000",35,D
1015540009,315,EAST 91 STREET,"2 7,710",92,A
1015547501,1760,2 AVENUE,"1 85,343",24,D
1015540032,342,EAST 92 STREET,"7 8,595",31,D
1015540015,323,EAST 91 STREET,"4 3,894",90,A
1015540023,1761,1 AVENUE,"2 44,249",2,D
1015550001,301,EAST 92 STREET,"2 7,645",27,D
1015550023,1781,1 AVENUE,"3 01,851",67,C
1015560017,329,EAST 93 STREET,"5 4,450",80,B
1015560023,345,EAST 93 STREET,"3 40,068",94,A
1015560052,1802,2 AVENUE,"1 62,682",1,D
1015570025,345,EAST 94 STREET,"2 07,037",43,D
1015570041,312,EAST 95 STREET,"1 01,243",73,B
1015577502,301,EAST 94 STREET,"1 21,305",96,A
1015580003,1844,2 AVENUE,"1 02,750",31,D
1015580005,303,EAST 95 STREET,"3 3,804",87,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015580040,306,EAST 96 STREET,"1 65,200",75,B
1015580050,1852,2 AVENUE,"6 3,500",70,B
1015587501,302,EAST 96 STREET,"6 9,924",96,A
1015580034,320,EAST 96 STREET,"8 3,962",83,B
1015590005,409,EAST 79 STREET,"7 0,081",100,A
1015590010,425,EAST 79 STREET,"1 84,816",71,B
1015590019,1493,YORK AVENUE,"2 77,073",24,D
1015590033,420,EAST 80 STREET,"1 37,238",45,D
1015600001,1540,1 AVENUE,"3 02,049",11,D
1015600005,415,EAST 80 STREET,"4 2,570",68,C
1015600021,1511,YORK AVENUE,"2 23,798",32,D
1015610021,1533,YORK AVENUE,"5 02,595",56,C
1015610034,42O,EAST 82 STREET,"2 6,400",20,D
1015610047,1570,1 AVENUE,"2 8,000",100,A
1015620005,405,EAST 82 STREET,"3 2,690",59,C
1015627501,450,EAST 83 STREET,"1 98,774",6,D
1015630004,1608,1 AVENUE,"3 02,854",22,D
1015630005,411,EAST 83 STREET,"2 8,900",100,A
1015630020,449,EAST 83 STREET,"5 4,482",100,A
1015630032,436,EAST 84 STREET,"9 3,016",71,B
1015640031,440,EAST 85 STREET,"3 2,208",34,D
1015640047,1634,1 AVENUE,"2 07,546",72,B
1015647502,401,EAST 84 STREET,"1 07,790",43,D
1015650001,1646,1 AVENUE,"1 93,836",48,D
1015650009,415,EAST 85 STREET,"8 6,612",37,D
1015650017,435,EAST 85 STREET,"3 5,000",60,C
1015650028,446,EAST 86 STREET,"8 2,430",67,C
1015650029,436,EAST 86 STREET,"3 84,646",17,D
1015657501,420,EAST 86 STREET,"5 1,750",100,A
1015660001,1652,1 AVENUE,"1 84,745",14,D
1015660010,425,EAST 86 STREET,"1 12,332",83,B
1015660017,437,EAST 86 STREET,"1 53,347",79,B
1015670022,1661,YORK AVENUE,"2 9,700",77,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015670031,440,EAST 88 STREET,"2 7,847",76,B
1015670037,418,EAST 88 STREET,"2 5,395",86,A
1015680001,1700,1 AVENUE,"2 27,259",6,D
1015680021,1673,YORK AVENUE,"3 15,710",13,D
1015680037,422,EAST 89 STREET,"2 9,459",1,D
1015680008,413,EAST 88 STREET,"5 6,145",73,B
1015690016,1725,YORK AVENUE,"3 91,194",68,C
1015697501,402,EAST 90 STREET,"1 09,500",94,A
1015697502,401,EAST 89 STREET,"1 96,806",11,D
1015697503,400,EAST 90 STREET,"1 23,982",19,D
1015700012,417,EAST 90 STREET,"5 0,676",91,A
1015700015,423,EAST 90 STREET,"3 0,866",83,B
1015700021,1731,YORK AVENUE,"2 79,945",41,D
1015700024,1737,YORK AVENUE,"4 6,421",4,D
1015700029,440,EAST 91 STREET,"2 7,323",1,D
1015710008,407,EAST 91 STREET,"4 7,855",80,B
1015710022,1751,YORK AVENUE,"3 46,325",4,D
1015710049,408,EAST 92 STREET,"1 94,212",17,D
1015717501,410,EAST 92 STREET,"1 24,009",57,C
1015730022,1775,YORK AVENUE,"3 47,118",6,D
1015730020,1780,1 AVENUE,"3 86,322",4,D
1015760001,1498,YORK AVENUE,"2 15,732",57,C
1015760005,505,EAST 79 STREET,"2 60,000",42,D
1015760014,515,EAST 79 STREET,"2 32,400",42,D
1015760023,2,EAST END AVENUE,"1 47,991",93,A
1015760027,10,EAST END AVENUE,"2 30,473",72,B
1015760037,518,EAST 80 STREET,"6 2,767",96,A
1015767501,510,EAST 80 STREET,"9 1,800",23,D
1015770001,1520,YORK AVENUE,"2 81,902",11,D
1015770008,511,EAST 80 STREET,"1 66,686",12,D
1015770027,28,EAST END AVENUE,"1 09,723",58,C
1015770045,504,EAST 81 STREET,"3 8,520",99,A
1015777501,520,EAST 81 STREET,"1 11,177",75,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015777502,525,EAST 80 STREET,"1 52,729",86,A
1015777504,20,EAST END AVENUE,"1 82,614",82,B
1015780001,1540,YORK AVENUE,"3 09,204",76,B
1015787501,52,EAST END AVENUE,"1 21,120",18,D
1015787504,40,EAST END AVENUE,"9 4,820",81,B
1015790005,505,EAST 82 STREET,"4 7,680",100,A
1015790015,525,EAST 82 STREET,"9 5,642",76,B
1015790023,60,EAST END AVENUE,"3 45,242",63,C
1015790030,590,EAST 83 STREET,"8 2,374",36,D
1015800023,80,EAST END AVENUE,"1 82,000",70,B
1015800033,526,EAST 84 STREET,"4 2,250",68,C
1015800038,518,EAST 84 STREET,"3 3,000",93,A
1015800043,512,EAST 84 STREET,"2 9,910",92,A
1015807501,90,EAST END AVENUE,"1 27,680",38,D
1015810023,100,EAST END AVENUE,"1 30,918",22,D
1015810030,110,EAST END AVENUE,"1 50,754",81,B
1015810045,510,EAST 85 STREET,"7 7,768",81,B
1015810049,1596,YORK AVENUE,"2 42,032",5,D
1015820005,515,EAST 85 STREET,"8 1,215",89,A
1015820015,529,EAST 85 STREET,"3 8,700",82,B
1015820023,120,EAST END AVENUE,"2 11,270",84,B
1015820030,130,EAST END AVENUE,"9 4,409",93,A
1015820031,544,EAST 86 STREET,"7 4,396",58,C
1015820034,530,EAST 86 STREET,"1 20,835",73,B
1015820040,520,EAST 86 STREET,"1 14,640",82,B
1015820046,510,EAST 86 STREET,"1 23,333",77,B
1015830006,511,EAST 86 STREET,"1 28,651",91,A
1015830009,517,EAST 86 STREET,"4 8,000","missing required benchmarkinginformation",F
1015830012,525,EAST 86 STREET,"2 23,473",77,B
1015830015,535,EAST 86 STREET,"3 20,600",79,B
1015837501,500A,EAST 87 STREET,"1 15,223",90,A
1015840001,1658,YORK AVENUE,"2 02,322",91,A
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015840035,524,EAST 88 STREET,"3 5,740",48,D
1015847501,170,EAST END AVENUE,"3 00,000",8,D
1015850001,1680,YORK AVENUE,"6 7,425",87,A
1015850008,515,EAST 88 STREET,"4 2,286",93,A
1015850018,531,EAST 88 STREET,"2 5,800",93,A
1015850023,180,EAST END AVENUE,"3 50,896",86,A
1015850036,530,EAST 89 STREET,"4 8,600",100,A
1015860001,1700,YORK AVENUE,"1 36,598",70,B
1015860005,515,EAST 89 STREET,"7 1,000",77,B
1015860013,525,EAST 89 STREET,"7 1,000",66,C
1015860021,200,EAST END AVENUE,"2 54,928",62,C
1015860035,530,EAST 90 STREET,"7 1,000",55,C
1015860043,504,EAST 90 STREET,"7 1,000",68,C
1015890002,1,EAST END AVENUE,"1 15,835",60,C
1015890019,25,EAST END AVENUE,"8 9,264",48,D
1015890023,33,EAST END AVENUE,"8 9,400",91,A
1015890034,45,EAST END AVENUE,"1 95,000",44,D
1015890041,55,EAST END AVENUE,"2 10,000",82,B
1015900007,605,EAST 82 STREET,"2 22,200",75,B
1015900008,75,EAST END AVENUE,"2 96,940",66,C
1015900019,610,EAST 83 STREET,"1 17,180",18,D
1015900030,10,GRACIE SQUARE,"2 30,940",78,B
1015900036,85,EAST END AVENUE,"1 69,386",30,D
1015900044,5,GRACIE SQUARE,"8 7,869",85,A
1015940002,55,CENTRAL PARK NORTH,"5 6,643",83,B
1015940007,45,CENTRAL PARK NORTH,"5 3,136",96,A
1015940012,35,CENTRAL PARK NORTH,"6 4,644",59,C
1015940022,21,CENTRAL PARK NORTH,"2 6,000",47,D
1015940040,1316,5 AVENUE,"2 5,721",1,D
1015940042,8,WEST 111 STREET,"5 1,460",60,C
1015940050,24,WEST 111 STREET,"2 9,500",81,B
1015940054,32,WEST 111 STREET,"2 6,100",60,C
1015940058,40,WEST 111 STREET,"2 6,100",60,C
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1015940061,46,WEST 111 STREET,"2 6,100",81,B
1015940065,52,WEST 111 STREET,"2 6,100",81,B
1015947501,10,LENOX AVENUE,"4 9,620",86,A
1015950001,20,LENOX AVENUE,"1 06,645",81,B
1015950065,50,WEST 112 STREET,"3 8,255",99,A
1015950015,7,WEST 111 STREET,"1 44,225",74,B
1015960001,90,LENOX AVENUE,"5 99,600",19,D
1015990001,100,LENOX AVENUE,"2 7,540",56,C
1015990003,104,LENOX AVENUE,"2 6,400",31,D
1015997501,1400,5 AVENUE,"2 08,903",30,D
1015997502,40,WEST 116 STREET,"4 84,897",82,B
1016000015,37,WEST 116 STREET,"2 9,350",50,D
1016000021,5,WEST 116 STREET,"1 06,008",52,D
1016000026,19,WEST 116 STREET,"4 7,624",75,B
1016007501,130,LENOX AVENUE,"4 37,224",26,D
1016007502,23,WEST 116 STREET,"1 57,823",46,D
1016007503,23,WEST 116 STREET,"1 27,564",46,D
1016010027,1,WEST 117 STREET,"1 62,530",39,D
1016010001,144,LENOX AVENUE,"1 07,025",75,B
1016020001,1150,5 AVENUE,"1 63,969",41,D
1016020009,9,EAST 96 STREET,"7 3,125",88,A
1016020013,17,EAST 96 STREET,"8 5,290",75,B
1016020020,49,EAST 96 STREET,"1 41,058",60,C
1016020033,71,EAST 96 STREET,"4 7,822",58,C
1016020038,72,EAST 97 STREET,"2 8,922",57,C
1016020046,52,EAST 97 STREET,"4 7,300",89,A
1016020060,12,EAST 97 STREET,"1 21,369",90,A
1016020069,1158,5 AVENUE,"1 57,824",65,C
1016027501,65,EAST 96 STREET,"1 12,700",73,B
1016030001,1160,5 AVENUE,"9 9,833",82,B
1016030014,17,EAST 97 STREET,"4 6,014",96,A
1016030020,51,EAST 97 STREET,"4 9,340",56,C
1016030025,53,EAST 97 STREET,"2 7,500",77,B
10-Digit BBL,"StreetNumber",Street Name,"DOF Gross SquareFootage",Energy Star 1 to 100 Score,"EnergyEfficiencyGrade"
1016030039,50,EAST 98 STREET,"2 40,000",96,A
1016030060,16,EAST 98 STREET,"5 2,000",92,A
1016030063,4,EAST 98 STREET,"5 8,306",56,C
1016030069,2,EAST 98 STREET,"1 55,979",64,C
1016040001,1170,5 AVENUE,"1 53,064",96,A
1016050024,65,EAST 99 STREET,"4 84,479",22,D
1016077501,1200,5 AVENUE,"1 22,755",38,D
1016077502,1212,FIFTH AVENUE,"1 23,753",80,B
1016077503,10,EAST 102 STREET,"4 47,011",91,A
1016080001,1215,5 AVENUE,"1 24,081",92,A
1016080069,1216,5 AVENUE,"9 8,099",79,B
1016080023,55,EAST 102 STREET,"3 10,551",22,D
1016090007,19,EAST 103 STREET,"9 5,993",61,C
1016100009,21,EAST 104 STREET,"2 6,100",39,D
1016100023,1545,MADISON AVENUE,"4 05,000",22,D
1016110001,1240,5 AVENUE,"4 88,783",37,D
1016110015,1560,MADISON AVENUE,"8 5,182",43,D
1016120001,1250,5 AVENUE,"5 32,700",11,D
1016120050,1587,MADISON AVENUE,"1 68,000",87,A
1016130006,21,EAST 107 STREET,"2 45,000",94,A
1016130070,1261,5 AVENUE,"1 30,000",57,C
1016130023,1595,MADISON AVENUE,"1 70,612",100,A
1016137501,1255,5 AVENUE,"8 2,314",52,D
1016140001,1270,5 AVENUE,"2 12,000",59,C
1016140069,1274,5 AVENUE,"5 6,670",80,B
1016140021,1615,MADISON AVENUE,"1 16,500",84,B
