,10-Digit BBL,"Street Number",Street Name,"DOF Gross Square Footage",Energy Star 1 to 100 Score,"Energy Efficiency Grade"
1287,1006410017,100,JANE STREET,"1 23,646",57,C
1288,1006420004,110,HORATIO STREET,"8 5,030",72,B
1289,1006420012,108,HORATIO STREET,"2 6,250",72,B
1291,1006420042,92,HORATIO STREET,"4 4,385",74,B
1292,1006427502,99,JANE STREET,"1 66,965",61,C
1293,1006430001,521,WEST STREET,"4 34,276",78,B
1294,1006440043,63,GANSEVOORT STREET,"6 4,683",50,D
1295,1006440010,820,WASHINGTON STREET,"2 4,801",9,D
1296,1006450011,848,WASHINGTON STREET,"2 19,320",1,D
1297,1006450029,416,WEST 13 STREET,"1 44,000",78,B
1298,1006457501,837,WASHINGTON STREET,"5 3,588",95,A
1299,1006460001,40,10 AVENUE,"1 31,297",24,D
1300,1006460018,440,WEST 14 STREET,"3 1,449",6,D
1301,1006460019,860,WASHINGTON STREET,"1 15,173",79,B
1302,1006460027,428,WEST 14 STREET,"5 3,658",25,D
1303,1006460030,420,WEST 14 STREET,"3 0,162",80,B
1304,1006460032,418,WEST 14 STREET,"5 5,170",78,B
1305,1006460038,408,WEST 14 STREET,"3 7,400",61,C
1306,1006460049,405,WEST 13 STREET,"3 9,751",100,A
1307,1006467501,415,WEST 13 STREET,"9 2,379",8,D
1308,1006467502,450,WEST 14 STREET,"1 03,878",61,C
1309,1006467503,29,9 AVENUE,"7 8,265",39,D
1310,1006700070,231,11 AVENUE,"2 17,350",5,D
1311,1006720001,601,WEST 26 STREET,"1 ,835,150",87,A
1312,1006730001,261,11 AVENUE,"1 ,129,200",100,A
1313,1006907501,520,WEST 19 STREET,"7 3,107",45,D
1314,1006917501,100,11 AVENUE,"1 44,588",25,D
1315,1006917502,505,WEST 19 STREET,"1 19,876",4,D
1316,1006927502,500,WEST 21 STREET,"8 9,431",27,D
1319,1006930064,154,11 AVENUE,"2 9,600",23,D
1320,1006937502,551,WEST 21 STREET,"1 96,966",10,D
1321,1006937503,510,WEST 22 STREET,"1 29,231",59,C
1325,1006940039,500,WEST 23 STREET,"1 09,795",69,C
1326,1006940042,520,WEST 23 STREET,"9 5,656",75,B
1327,1006940058,536,WEST 23 STREET,"4 2,640",62,C
1328,1006947501,525,WEST 22 STREET,"8 8,686",79,B
1329,1006950015,527,WEST 23 STREET,"3 00,000",49,D
1330,1006957503,555,WEST 23 STREET,"2 98,794",56,C
1331,1006957504,231,10 AVENUE,"5 3,455",61,C
1332,1006960013,533,WEST 24 STREET,"3 2,424",64,C
1335,1006970023,511,WEST 25 STREET,"8 3,612",68,C
1336,1006970031,259,10 AVENUE,"2 14,780",67,C
1338,1006970047,518,WEST 26 STREET,"2 18,019",92,A
1339,1006970056,536,WEST 26 STREET,"1 44,079",94,A
1340,1006980001,244,11 AVENUE,"1 54,433",86,A
1342,1006980018,519,WEST 26 STREET,"1 38,002",91,A
1343,1006980047,518,WEST 27 STREET,"3 5,987",21,D
1344,1006980061,544,WEST 27 STREET,"2 9,922",55,C
1345,1006987501,520,WEST 27 STREET,"4 8,242",46,D
1346,1006990005,547,WEST 27 STREET,"9 7,200",76,B
1347,1006990009,537,WEST 27 STREET,"3 4,345",94,A
1348,1006990033,303,10 AVENUE,"1 01,000",62,C
1349,1006997502,540,WEST 28 STREET,"1 27,715",95,A
1350,1006997503,520,WEST 28 STREET,"1 43,053",35,D
1352,1006997504,527,WEST 27 STREET,"1 45,759",58,C
1353,1007000009,539,WEST 28 STREET,"7 15,058",74,B
1354,1007000027,509,WEST 28 STREET,"2 84,356",20,D
1355,1007007501,522,WEST 29 STREET,"1 08,260",11,D
1356,1007007502,550,WEST 29 STREET,"7 3,206",86,A
1357,1007010016,520,WEST 30 STREET,"3 15,586",35,D
1358,1007010062,312,11 AVENUE,"3 87,468",49,D
1359,1007017501,529,WEST 29 STREET,"1 07,530",89,A
1360,1007017502,500,WEST 30 STREET,"4 14,521",56,C
1361,1007020010,501,WEST 30 STREET,"1 ,835,464",66,C
1362,1007027502,553,WEST 30 STREET,"1 ,117,228",100,A
1363,1007027503,560,WEST 33RD ST. HUDSON YAR,"8 20,201",25,D
1364,1007050001,380,11 AVENUE,"1 ,178,640",63,C
1365,1007080020,515,WEST 36 STREET,"3 21,693",88,A
1366,1007080031,469,10 AVENUE,"2 41,508",62,C
1367,1007080037,481,10 AVENUE,"8 5,442",70,B
1368,1007090031,505,WEST 37 STREET,"8 07,316",55,C
1369,1007100011,535,WEST 38 STREET,"5 1,845",71,B
1370,1007107501,509,WEST 38 STREET,"2 54,920",22,D
1372,1007120042,412,WEST 15 STREET,"1 16,624",60,C
1373,1007120046,422,WEST 15 STREET,"1 11,300",64,C
1374,1007140014,437,WEST 16 STREET,"2 7,456",70,B
1375,1007140031,430,WEST 17 STREET,"2 98,470",1,D
1376,1007147501,450,WEST 17 STREET,"5 20,296",8,D
1377,1007150059,442,WEST 18 STREET,"3 5,720",77,B
1378,1007150010,117,9 AVENUE,"2 53,070",1,D
1379,1007160017,401,WEST 18 STREET,"2 53,070",1,D
1380,1007167501,444,WEST 19 STREET,"5 2,646",52,D
1381,1007167503,447,WEST 18 STREET,"8 3,950",52,D
1382,1007167505,456,WEST 19 STREET,"5 6,876",14,D
1383,1007167506,425,WEST 18 STREET,"1 34,004",100,A
1385,1007170019,401,WEST 19 STREET,"4 5,420",1,D
1386,1007177501,445,WEST 19 STREET,"5 4,355",56,C
1387,1007177504,422,WEST 20 STREET,"4 7,306",58,C
1390,1007187501,177,9 AVENUE,"1 47,133",16,D
1391,1007187502,180,10 AVENUE,"1 40,360",100,A
1392,1007190020,433,WEST 21 STREET,"6 3,956",42,D
1393,1007190029,421,WEST 21 STREET,"2 6,800",1,D
1394,1007200045,401,WEST 22 STREET,"5 8,394",74,B
1395,1007207501,420,WEST 23 STREET,"4 4,272",7,D
1396,1007210007,415,WEST 23 STREET,"9 75,170",82,B
1397,1007217501,465,WEST 23 STREET,"6 68,843",71,B
1398,1007220026,415,WEST 24 STREET,"4 2,204",82,B
1399,1007220043,241,9 AVENUE,"3 0,500",63,C
1400,1007227501,420,WEST 25 STREET,"9 7,500",22,D
1401,1007230001,264,10 AVENUE,"3 25,140",43,D
1402,1007237501,263,9 AVENUE,"9 7,563",25,D
1403,1007230015,407,WEST 25 STREET,"5 67,000",17,D
1404,1007237502,401,WEST 25 STREET,"1 63,064",66,C
1405,1007240010,441,WEST 26 STREET,"1 08,426",43,D
1406,1007240015,427,WEST 26 STREET,"1 87,330",43,D
1407,1007240001,278,10 AVENUE,"1 59,200",43,D
1408,1007240023,281,9 AVENUE,"8 5,085",36,D
1409,1007280042,406,WEST 31 STREET,"3 24,885",43,D
1411,1007290163,424,WEST 33 STREET,"1 78,460",83,B
1412,1007299001,450,WEST 33 STREET,"1 ,445,092",70,B
1413,1007297502,371,9 AVENUE,"9 21,360",60,C
1414,1007297504,395,9 AVENUE,"2 ,091,862",75,B
1415,1007310001,460,WEST 34 STREET,"5 38,520",54,D
1417,1007310050,408,WEST 34 STREET,"4 6,500",36,D
1418,1007310060,430,WEST 34 STREET,"1 08,402",86,A
1419,1007310065,440,WEST 34 STREET,"1 19,194",87,A
1420,1007320001,461,WEST 34 STREET,"2 18,640",41,D
1421,1007320007,455,WEST 34 STREET,"9 7,867",70,B
1422,1007320016,433,WEST 34 STREET,"1 42,971",95,A
1423,1007320025,413,WEST 34 STREET,"1 22,073",95,A
1424,1007320058,444,WEST 35 STREET,"6 4,449",55,C
1425,1007320070,444,10 AVENUE,"4 8,264",24,D
1426,1007327501,441,9 AVENUE,"5 60,400",84,B
1427,1007330008,453,WEST 35 STREET,"9 8,576",7,D
1428,1007330023,421,WEST 35 STREET,"1 78,414",56,C
1429,1007340037,400,WEST 37 STREET,"2 14,594",69,C
1430,1007347501,438,WEST 37 STREET,"1 73,726",75,B
1431,1007350006,453,WEST 37 STREET,"4 40,709",56,C
1432,1007350017,431,WEST 37 STREET,"9 7,646",42,D
1433,1007367501,511,9 AVENUE,"1 44,242",98,A
1434,1007380014,337,WEST 14 STREET,"2 8,821",85,A
1435,1007380015,335,WEST 14 STREET,"2 8,321",85,A
1436,1007380048,312,WEST 15 STREET,"2 8,078",86,A
1437,1007387501,85,8 AVENUE,"1 25,914",88,A
1438,1007387502,366,WEST 15 STREET,"4 1,302",8,D
1439,1007387504,345,WEST 14 STREET,"7 3,172",98,A
1440,1007400037,139,8 AVENUE,"3 2,930",15,D
1441,1007407501,127,8 AVENUE,"7 5,916",91,A
1442,1007407502,346,WEST 17 STREET,"1 83,484",26,D
1443,1007410067,112,9 AVENUE,"5 7,706",26,D
1444,1007410010,330,WEST 18 STREET,"1 57,160",78,B
1445,1007420022,319,WEST 18 STREET,"3 3,900",80,B
1446,1007427501,305,WEST 18 STREET,"5 2,698",86,A
1447,1007420007,335,WEST 18 STREET,"2 80,569",64,C
1448,1007430038,177,8 AVENUE,"7 7,712",63,C
1449,1007437501,300,WEST 20 STREET,"4 3,197",66,C
1451,1007440001,363,WEST 20 STREET,"6 2,638",64,C
1452,1007440024,315,WEST 20 STREET,"8 9,802",71,B
1453,1007450040,231,8 AVENUE,"3 0,948",6,D
1454,1007457502,360,WEST 22 STREET,"2 10,014",90,A
1455,1007457503,225,8 AVENUE,"8 2,481",48,D
1456,1007460060,334,WEST 23 STREET,"3 2,000",71,B
1457,1007467502,344,WEST 23 STREET,"5 3,937",58,C
1458,1007467506,312,WEST 23 STREET,"4 8,886",22,D
1459,1007470001,212,9 AVENUE,"2 50,908",83,B
1460,1007470028,315,WEST 23 STREET,"1 20,010",82,B
1461,1007480001,311,WEST 24 STREET,"8 17,317",83,B
1462,1007490001,250,9 AVENUE,"2 02,095",83,B
1464,1007490024,313,8 AVENUE,"2 32,793",83,B
1465,1007510001,345,8TH AVENUE,"1 ,433,917",83,B
1466,1007520001,305,9 AVENUE,"3 98,907",83,B
1468,1007530051,314,WEST 30 STREET,"6 2,824",85,A
1469,1007530056,324,WEST 30 STREET,"1 47,888",90,A
1470,1007530078,342,9 AVENUE,"4 6,000",75,B
1471,1007537502,308,WEST 30 STREET,"5 3,449",96,A
1472,1007540001,363,WEST 30 STREET,"8 5,853",75,B
1473,1007540016,345,WEST 30 STREET,"2 5,657",100,A
1474,1007540021,327,WEST 30 STREET,"4 0,016",68,C
1475,1007540031,313,WEST 30 STREET,"3 1,512",100,A
1476,1007540051,320,WEST 31 STREET,"1 16,000",77,B
1477,1007540068,350,WEST 31 STREET,"6 3,200",52,D
1478,1007540078,362,9 AVENUE,"3 38,962",87,A
1479,1007570001,420,9 AVENUE,"4 1,006",26,D
1480,1007570017,325,WEST 33 STREET,"1 20,639",53,D
1481,1007570031,461,8 AVENUE,"6 11,625",70,B
1483,1007570066,354,WEST 34 STREET,"2 79,392",26,D
1484,1007580037,481,8 AVENUE,"1 ,300,727",87,A
1485,1007580082,440,9 AVENUE,"3 42,596",83,B
1486,1007587501,333,WEST 34 STREET,"3 07,467",63,C
1487,1007590014,345,WEST 35 STREET,"9 3,090",75,B
1488,1007590026,325,WEST 35 STREET,"6 3,363",65,C
1489,1007590037,501,8 AVENUE,"2 66,912",88,A
1490,1007590045,519,8 AVENUE,"3 30,291",90,A
1491,1007590055,320,WEST 36 STREET,"1 19,347",45,D
1492,1007590061,338,WEST 36 STREET,"1 97,027",83,B
1493,1007590072,356,WEST 36 STREET,"7 4,368",90,A
1494,1007600012,347,WEST 36 STREET,"9 8,454",90,A
1495,1007600018,341,WEST 36 STREET,"8 1,000",67,C
1496,1007600020,337,WEST 36 STREET,"3 9,291",43,D
1497,1007600032,307,WEST 36 STREET,"2 32,458",86,A
1498,1007600039,523,8 AVENUE,"9 8,674",67,C
1499,1007600043,531,8 AVENUE,"1 37,003",86,A
1500,1007600051,312,WEST 37 STREET,"1 19,685",6,D
1501,1007600055,320,WEST 37 STREET,"1 00,244",93,A
1503,1007600063,336,WEST 37 STREET,"1 22,817",97,A
1504,1007600068,352,WEST 37 STREET,"1 70,978",17,D
1505,1007607501,315,WEST 36 STREET,"3 3,425",65,C
1507,1007610020,325,WEST 37 STREET,"4 8,843",100,A
1508,1007610022,313,WEST 37 STREET,"8 2,354",70,B
1510,1007610037,555,8 AVENUE,"1 62,260",92,A
1511,1007610043,320,WEST 38 STREET,"7 18,503",30,D
1512,1007610053,330,WEST 38 STREET,"1 80,064",95,A
1513,1007610059,344,WEST 38 STREET,"9 5,402",34,D
1515,1007620016,333,WEST 38 STREET,"3 5,219",32,D
1516,1007620019,325,WEST 38 STREET,"1 10,188",93,A
1517,1007620033,575,8 AVENUE,"2 24,400",90,A
1519,1007620042,589,8 AVENUE,"1 12,700",78,B
1520,1007620050,318,WEST 39 STREET,"1 56,508",85,A
1521,1007620060,334,WEST 39 STREET,"2 18,725",54,D
1522,1007620061,338,WEST 39 STREET,"7 7,999",62,C
1523,1007627502,502,9 AVENUE,"3 5,996",34,D
1524,1007620067,350,WEST 39 STREET,"1 79,130",50,D
1525,1007627503,307,WEST 38 STREET,"2 62,983",51,D
1526,1007630012,343,WEST 39 STREET,"7 4,128",63,C
1527,1007630013,341,WEST 39 STREET,"8 5,706",76,B
1528,1007630014,337,WEST 39 STREET,"7 1,706",61,C
1529,1007630018,333,WEST 39 STREET,"9 3,661",87,A
1530,1007630024,315,WEST 39 STREET,"1 32,684",81,B
1531,1007630028,311,WEST 39 STREET,"1 77,000",47,D
1532,1007630034,601,8 AVENUE,"2 8,750",4,D
1533,1007630047,310,WEST 40 STREET,"1 14,917",47,D
1534,1007630049,314,WEST 40 STREET,"6 8,060",70,B
1535,1007630054,326,WEST 40 STREET,"9 8,738",51,D
1536,1007630056,330,WEST 40 STREET,"1 02,000",89,A
1537,1007630060,334,WEST 40 STREET,"1 31,921",83,B
1538,1007630065,342,WEST 40 STREET,"6 7,130",20,D
1539,1007630067,346,WEST 40 STREET,"2 00,590",83,B
1540,1007639008,347,WEST 39 STREET,"6 4,147",15,D
1541,1007637502,323,WEST 39 STREET,"7 5,774",86,A
1542,1007637503,305,WEST 39 STREET,"3 0,384",20,D
1543,1007640001,80,8 AVENUE,"1 85,198",88,A
1544,1007640007,253,WEST 14 STREET,"3 9,628",53,D
1545,1007640042,72,7 AVENUE,"1 09,669",61,C
1546,1007647503,245,WEST 14 STREET,"4 6,630",74,B
1548,1007647504,209,WEST 14 STREET,"3 6,800",7,D
1549,1007650001,102,8 AVENUE,"1 02,046",36,D
1550,1007650035,78,7 AVENUE,"1 28,350",60,C
1551,1007650047,208,WEST 16 STREET,"3 3,547",57,C
1552,1007650070,248,WEST 16 STREET,"4 9,816",100,A
1553,1007660009,253,WEST 16 STREET,"3 7,782",32,D
1554,1007660039,100,7 AVENUE,"1 01,221",78,B
1555,1007660061,230,WEST 17 STREET,"5 3,168",99,A
1556,1007660071,248,WEST 17 STREET,"2 5,362",69,C
1557,1007667502,124,8 AVENUE,"1 72,584",15,D
1558,1007667504,246,WEST 17 STREET,"6 8,206",15,D
1559,1007670012,249,WEST 17 STREET,"1 08,768",79,B
1560,1007670015,245,WEST 17 STREET,"1 18,945",74,B
1561,1007670019,227,WEST 17 STREET,"4 2,720",100,A
1562,1007670043,128,7 AVENUE,"4 6,812",71,B
1563,1007670054,218,WEST 18 STREET,"1 67,210",63,C
1564,1007677502,257,WEST 17 STREET,"9 5,919",59,C
1565,1007677504,224,WEST 18 STREET,"5 3,649",20,D
1566,1007677503,201,WEST 17 STREET,"7 4,195",84,B
1567,1007677505,210,WEST 18 STREET,"3 04,312",100,A
1568,1007670068,250,WEST 18 STREET,"3 9,990",41,D
1569,1007680050,220,WEST 19 STREET,"1 15,433",72,B
1570,1007680059,238,WEST 19 STREET,"1 57,364",100,A
1571,1007687501,210,WEST 19 STREET,"5 1,717",92,A
1572,1007687502,140,7 AVENUE,"1 20,545",47,D
1573,1007690053,226,WEST 20 STREET,"2 7,381",15,D
1574,1007697503,160,7 AVENUE,"1 41,015",79,B
1575,1007697505,251,WEST 19 STREET,"7 2,112",33,D
1576,1007700048,210,WEST 21 STREET,"2 5,123",66,C
1577,1007700051,220,WEST 21 STREET,"2 5,778",56,C
1578,1007700059,234,WEST 21 STREET,"3 2,718",81,B
1579,1007710001,216,8 AVENUE,"3 2,325",33,D
1580,1007710038,188,7 AVENUE,"8 0,977",5,D
1582,1007710046,196,7 AVENUE,"7 6,450",74,B
1583,1007710068,258,WEST 22 STREET,"3 0,375",65,C
1584,1007720018,235,WEST 22 STREET,"1 16,586",89,A
1586,1007720056,208,WEST 23 STREET,"1 52,342",77,B
1588,1007730012,255,WEST 23 STREET,"1 59,090",49,D
1589,1007730022,241,WEST 23 STREET,"2 6,270",98,A
1590,1007730024,235,WEST 23 STREET,"4 9,183",82,B
1591,1007730027,225,WEST 23 STREET,"6 6,524",100,A
1592,1007730044,232,7 AVENUE,"5 1,584",20,D
1593,1007730056,220,WEST 24 STREET,"5 7,207",100,A
1594,1007730134,202,WEST 24 STREET,"6 8,879",26,D
1595,1007737501,200,WEST 24 STREET,"3 0,927",48,D
1596,1007747501,252,7 AVENUE,"6 28,697",48,D
1597,1007740019,233,WEST 24 STREET,"4 00,000",76,B
1598,1007750009,245,WEST 25 STREET,"3 9,698",28,D
1599,1007750017,231,WEST 25 STREET,"5 0,029",88,A
1600,1007750022,219,WEST 25 STREET,"6 2,586",72,B
1601,1007750044,200,WEST 26 STREET,"2 64,000",36,D
1602,1007750046,220,WEST 26 STREET,"1 36,477",36,D
1603,1007750058,226,WEST 26 STREET,"1 03,873",86,A
1604,1007750060,236,WEST 26 STREET,"8 6,280",14,D
1605,1007750064,250,WEST 26 STREET,"3 0,928",54,D
1606,1007757502,260,WEST 26 STREET,"2 15,254",77,B
1607,1007757503,261,WEST 25 STREET,"7 1,250",78,B
1608,1007760001,322,8 AVENUE,"1 73,491",89,A
1609,1007760017,233,WEST 26 STREET,"4 7,433",100,A
1610,1007760047,220,WEST 27 STREET,"6 5,240",48,D
1611,1007760055,230,WEST 27 STREET,"1 09,132",77,B
1612,1007760059,236,WEST 27 STREET,"9 4,331",62,C
1614,1007760065,250,WEST 27 STREET,"6 6,636",96,A
1615,1007780007,253,WEST 28 STREET,"3 7,372",24,D
1616,1007780020,239,WEST 28 STREET,"1 56,500",84,B
1617,1007780034,207,WEST 28 STREET,"5 7,414",100,A
1618,1007780043,330,7 AVENUE,"2 40,534",71,B
1619,1007780048,214,WEST 29 STREET,"1 25,042",99,A
1620,1007780052,224,WEST 29 STREET,"4 5,211",98,A
1621,1007780070,252,WEST 29 STREET,"4 2,564",1,D
1622,1007787501,261,WEST 28 STREET,"7 3,371",56,C
1623,1007790013,241,WEST 29 STREET,"1 06,960",70,B
1624,1007790023,227,WEST 29 STREET,"5 5,000",98,A
1625,1007790027,221,WEST 29 STREET,"1 01,476",66,C
1626,1007790031,211,WEST 29 STREET,"5 4,441",91,A
1627,1007790039,350,7 AVENUE,"1 43,845",96,A
1628,1007790041,352,7 AVENUE,"1 27,488",49,D
1629,1007790049,208,WEST 30 STREET,"7 7,556",99,A
1630,1007790057,224,WEST 30 STREET,"1 42,801",93,A
1631,1007790063,236,WEST 30 STREET,"6 4,414",96,A
1632,1007790066,242,WEST 30 STREET,"9 4,914",92,A
1633,1007790075,400,8 AVENUE,"7 6,637",47,D
1634,1007797501,252,WEST 30 STREET,"6 1,884",100,A
1635,1007800007,259,WEST 30 STREET,"9 0,174",82,B
1636,1007800010,251,WEST 30 STREET,"1 04,199",82,B
1637,1007800013,247,WEST 30 STREET,"6 0,397",70,B
1638,1007800015,243,WEST 30 STREET,"4 2,327",99,A
1639,1007800071,254,WEST 31 STREET,"6 5,977",68,C
1640,1007807501,406,8 AVENUE,"3 2,500",19,D
1641,1007830034,420,7 AVENUE,"3 4,000",4,D
1642,1007830070,250,WEST 34 STREET,"2 ,689,635",65,C
1643,1007840019,225,WEST 34 STREET,"4 61,386",85,A
1644,1007840041,450,7 AVENUE,"4 91,253",87,A
1645,1007840051,212,WEST 35 STREET,"8 4,768",96,A
1646,1007840054,218,WEST 35 STREET,"2 01,307",36,D
1648,1007840060,224,WEST 35 STREET,"1 43,448",90,A
1649,1007840068,248,WEST 35 STREET,"1 33,948",96,A
1650,1007840077,494,8 AVENUE,"1 11,274",95,A
1651,1007850007,261,WEST 35 STREET,"1 14,368",90,A
1652,1007850011,253,WEST 35 STREET,"1 32,118",83,B
1653,1007850015,247,WEST 35 STREET,"9 5,568",92,A
1654,1007850018,237,WEST 35 STREET,"1 44,141",90,A
1655,1007850023,233,WEST 35 STREET,"4 1,584",62,C
1656,1007850029,213,WEST 35 STREET,"1 63,681",100,A
1657,1007850037,462,7 AVENUE,"1 89,734",84,B
1658,1007850041,470,7 AVENUE,"8 4,575",57,C
1659,1007850067,242,WEST 36 STREET,"1 52,667",92,A
1660,1007850073,256,WEST 36 STREET,"3 5,000",87,A
1661,1007860001,520,8 AVENUE,"7 54,487",86,A
1662,1007860020,241,WEST 36 STREET,"7 4,100",100,A
1663,1007860023,229,WEST 36 STREET,"1 30,000",71,B
1664,1007860042,488,7 AVENUE,"8 8,872",62,C
1665,1007860051,498,7 AVENUE,"8 03,800",83,B
1666,1007860064,226,WEST 37 STREET,"8 3,500",53,D
1667,1007860068,240,WEST 37 STREET,"1 30,766",95,A
1668,1007860076,252,WEST 37 STREET,"1 39,629",90,A
1669,1007870001,540,8 AVENUE,"2 25,858",86,A
1670,1007870011,247,WEST 37 STREET,"2 14,130",88,A
1671,1007870020,241,WEST 37 STREET,"8 7,802",98,A
1672,1007870023,237,WEST 37 STREET,"6 4,280",78,B
1673,1007870025,225,WEST 37 STREET,"1 63,103",93,A
1674,1007870040,500,7 AVENUE,"6 06,078",70,B
1675,1007870044,512,7 AVENUE,"5 53,748",71,B
1676,1007870059,230,WEST 38 STREET,"1 37,887",96,A
1677,1007870065,242,WEST 38 STREET,"4 7,661",93,A
1678,1007870067,246,WEST 38 STREET,"9 6,275",84,B
1679,1007870070,252,WEST 38 STREET,"6 6,073",85,A
1680,1007870072,256,WEST 38 STREET,"9 6,736",86,A
1682,1007870076,262,WEST 38 STREET,"9 5,491",93,A
1684,1007880011,263,WEST 38 STREET,"1 46,377",89,A
1685,1007880016,257,WEST 38 STREET,"7 8,325",3,D
1686,1007880037,209,WEST 38 STREET,"1 44,635",86,A
1687,1007880049,530,7 AVENUE,"4 08,130",78,B
1688,1007880064,230,WEST 39 STREET,"5 9,488",79,B
1689,1007880071,244,WEST 39 STREET,"4 7,110",87,A
1690,1007880073,250,WEST 39 STREET,"1 81,921",99,A
1691,1007880078,260,WEST 39 STREET,"1 54,516",92,A
1692,1007880086,594,8 AVENUE,"1 21,520",78,B
1693,1007887501,214,WEST 39 STREET,"1 89,104",90,A
1694,1007890001,600,8 AVENUE,"3 9,925",83,B
1695,1007890009,257,WEST 39 STREET,"1 77,975",77,B
1697,1007890021,231,WEST 39 STREET,"2 18,558",94,A
1698,1007890030,205,WEST 39 STREET,"2 29,162",77,B
1699,1007890036,550,7 AVENUE,"2 25,981",78,B
1700,1007890040,552,7 AVENUE,"3 0,528",44,D
1701,1007890044,202,WEST 40 STREET,"3 8,030",44,D
1702,1007890052,218,WEST 40 STREET,"1 46,486",81,B
1703,1007890062,240,WEST 40 STREET,"1 37,199",75,B
1704,1007890067,250,WEST 40 STREET,"5 2,524",62,C
1705,1007890069,252,WEST 40 STREET,"1 20,566",13,D
1706,1007890075,264,WEST 40 STREET,"1 16,100",84,B
1707,1007900001,61,7 AVENUE,"3 71,863",32,D
1708,1007900011,143,WEST 14 STREET,"3 3,806",100,A
1709,1007900028,103,WEST 14 STREET,"5 5,233",11,D
1710,1007907502,125,WEST 14 STREET,"3 43,534",21,D
1711,1007910001,79,7 AVENUE,"1 26,134",41,D
1712,1007910009,155,WEST 15 STREET,"4 9,880",98,A
1714,1007910016,143,WEST 15 STREET,"2 7,353",60,C
1715,1007910050,114,WEST 16 STREET,"3 2,736",86,A
1716,1007910062,130,WEST 16 STREET,"3 2,384",84,B
1717,1007920008,151,WEST 16 STREET,"4 3,770",78,B
1718,1007920012,141,WEST 16 STREET,"3 4,662",86,A
1719,1007920020,125,WEST 16 STREET,"3 9,504",19,D
1720,1007920024,115,WEST 16 STREET,"3 9,264",88,A
1721,1007920028,111,WEST 16 STREET,"3 9,455",86,A
1722,1007920050,122,WEST 17 STREET,"2 5,732",94,A
1723,1007927501,131,WEST 16 STREET,"3 9,792",90,A
1724,1007927504,101,7 AVENUE,"1 96,020",72,B
1725,1007930001,119,7 AVENUE,"5 3,123",2,D
1726,1007930020,133,WEST 17 STREET,"4 4,004",75,B
1727,1007930022,121,WEST 17 STREET,"5 3,298",99,A
1728,1007930067,154,WEST 18 STREET,"6 4,416",100,A
1729,1007937505,151,WEST 17 STREET,"1 08,689",14,D
1730,1007937507,100,WEST 18 STREET,"9 9,176",60,C
1731,1007937508,166,WEST 18 STREET,"7 6,676",35,D
1732,1007940009,157,WEST 18 STREET,"2 6,644",97,A
1733,1007940017,135,WEST 18 STREET,"5 2,500",73,B
1734,1007947501,130,WEST 19 STREET,"1 18,000",82,B
1735,1007947502,163,WEST 18 STREET,"4 6,948",3,D
1736,1007947504,155,WEST 18 STREET,"7 9,813",62,C
1738,1007950001,180,WEST 20 STREET,"2 74,659",26,D
1739,1007950010,155,WEST 19 STREET,"2 5,090",91,A
1740,1007950012,151,WEST 19 STREET,"4 8,784",86,A
1741,1007950020,133,WEST 19 STREET,"3 3,210",77,B
1742,1007950028,111,WEST 19 STREET,"1 65,513",55,C
1746,1007957501,121,WEST 19 STREET,"1 32,282",23,D
1747,1007957502,130,WEST 20 STREET,"4 0,339",28,D
1748,1007960001,171,7 AVENUE,"6 2,158",100,A
1749,1007960007,147,WEST 20 STREET,"5 7,606",90,A
1750,1007960018,135,WEST 20 STREET,"3 3,150",21,D
1751,1007960048,120,WEST 21 STREET,"1 74,621",74,B
1752,1007960067,150,WEST 21 STREET,"4 8,249",95,A
1753,1007967501,179,7 AVENUE,"3 9,023",6,D
1754,1007967502,121,WEST 20 STREET,"5 7,280",31,D
1755,1007967504,655,6 AVENUE,"1 21,206",10,D
1756,1007970007,163,WEST 21 STREET,"1 28,163",73,B
1757,1007970037,675,AVENUE OF THE AMERICAS,"2 37,000",83,B
1758,1007970054,118,WEST 22 STREET,"8 9,389",77,B
1759,1007970070,150,WEST 22 STREET,"7 3,611",79,B
1760,1007970074,160,WEST 22 STREET,"4 1,423",77,B
1761,1007970076,162,WEST 22 STREET,"3 1,759",83,B
1762,1007977502,126,WEST 22 STREET,"6 3,015",91,A
1763,1007977501,125,WEST 21 STREET,"8 4,375",31,D
1764,1007977507,140,WEST 22 STREET,"7 5,828",35,D
1765,1007977508,151,WEST 21 STREET,"6 5,823",46,D
1766,1007980041,695,AVENUE OF THE AMERICAS,"1 86,450",54,D
1767,1007980054,118,WEST 23 STREET,"4 8,539",38,D
1768,1007980066,142,WEST 23 STREET,"4 8,680",90,A
1769,1007980071,148,WEST 23 STREET,"1 27,000",89,A
1770,1007987502,215,7 AVENUE,"1 24,597",34,D
1771,1007987503,140,WEST 23 STREET,"3 5,154",60,C
1772,1007987505,125,WEST 22 STREET,"6 6,937",89,A
1773,1007987506,133,WEST 22 STREET,"1 25,560",37,D
1774,1007987507,124,WEST 23 STREET,"5 8,905",83,B
1775,1007990012,155,WEST 23 STREET,"6 8,940",84,B
1776,1007990028,119,WEST 23 STREET,"9 8,800",69,C
1777,1007990035,101,WEST 23 STREET,"9 4,835",85,A
1778,1007990046,108,WEST 24 STREET,"5 3,696",78,B
1780,1007990067,148,WEST 24 STREET,"5 5,923",74,B
1781,1007997501,124,WEST 24 STREET,"3 5,290",58,C
